,team_name,week_id,days_since_last_game
813,PIT,2019_15,7
814,PIT,2019_16,7
815,PIT,2019_17,7
816,PIT,2020_1,260
817,PIT,2020_2,6
818,PIT,2020_3,7
819,PIT,2020_5,14
820,PIT,2020_6,7
821,PIT,2020_7,7
822,PIT,2020_8,7
823,PIT,2020_9,7
824,PIT,2020_10,7
825,PIT,2020_11,7
826,PIT,2020_12,10
827,PIT,2020_13,5
828,PIT,2020_14,6
829,PIT,2020_15,8
830,PIT,2020_16,6
831,PIT,2020_17,7
832,TEN,2019_1,365
833,TEN,2019_2,7
834,TEN,2019_3,4
835,TEN,2019_4,10
836,TEN,2019_5,7
837,TEN,2019_6,7
838,TEN,2019_7,7
839,TEN,2019_8,7
840,TEN,2019_9,7
841,TEN,2019_10,7
842,TEN,2019_12,14
843,TEN,2019_13,7
844,TEN,2019_14,7
845,TEN,2019_15,7
846,TEN,2019_16,7
847,TEN,2019_17,7
848,TEN,2020_1,260
849,TEN,2020_2,6
850,TEN,2020_3,7
851,TEN,2020_5,16
852,TEN,2020_6,5
853,TEN,2020_7,7
854,TEN,2020_8,7
855,TEN,2020_9,7
856,TEN,2020_10,4
857,TEN,2020_11,10
858,TEN,2020_12,7
859,TEN,2020_13,7
860,TEN,2020_14,7
861,TEN,2020_15,7
862,TEN,2020_16,7
863,TEN,2020_17,7
864,WAS,2019_1,365
865,WAS,2019_2,7
866,WAS,2019_3,8
867,WAS,2019_4,6
868,WAS,2019_5,7
869,WAS,2019_6,7
870,WAS,2019_7,7
871,WAS,2019_8,4
872,WAS,2019_9,10
873,WAS,2019_11,14
874,WAS,2019_12,7
875,WAS,2019_13,7
876,WAS,2019_14,7
877,WAS,2019_15,7
878,WAS,2019_16,7
879,WAS,2019_17,7
880,WAS,2020_1,259
881,WAS,2020_2,7
882,WAS,2020_3,7
883,WAS,2020_4,7
884,WAS,2020_5,7
885,WAS,2020_6,7
886,WAS,2020_7,7
887,WAS,2020_9,14
888,WAS,2020_10,7
889,WAS,2020_11,7
890,WAS,2020_12,4
891,WAS,2020_13,11
892,WAS,2020_14,6
893,WAS,2020_15,7
894,WAS,2020_16,7
895,WAS,2020_17,7
896,BUF,2019_1,365
897,BUF,2019_2,7
898,BUF,2019_3,7
899,BUF,2019_4,7
900,BUF,2019_5,7
901,BUF,2019_7,14
902,BUF,2019_8,7
903,BUF,2019_9,7
904,BUF,2019_10,7
905,BUF,2019_11,7
906,BUF,2019_12,7
907,BUF,2019_13,4
908,BUF,2019_14,10
909,BUF,2019_15,7
910,BUF,2019_16,6
911,BUF,2019_17,8
912,BUF,2020_1,259
913,BUF,2020_2,7
914,BUF,2020_3,7
915,BUF,2020_4,7
916,BUF,2020_5,9
917,BUF,2020_6,6
918,BUF,2020_7,6
919,BUF,2020_8,7
920,BUF,2020_9,7
921,BUF,2020_10,7
922,BUF,2020_12,14
923,BUF,2020_13,8
924,BUF,2020_14,6
925,BUF,2020_15,6
926,BUF,2020_16,9
927,BUF,2020_17,6
928,IND,2019_1,365
929,IND,2019_2,7
930,IND,2019_3,7
931,IND,2019_4,7
932,IND,2019_5,7
933,IND,2019_7,14
934,IND,2019_8,7
935,IND,2019_9,7
936,IND,2019_10,7
937,IND,2019_11,7
938,IND,2019_12,4
939,IND,2019_13,10
940,IND,2019_14,7
941,IND,2019_15,8
942,IND,2019_16,6
943,IND,2019_17,7
944,IND,2020_1,259
945,IND,2020_2,7
946,IND,2020_3,7
947,IND,2020_4,7
948,IND,2020_5,7
949,IND,2020_6,7
950,IND,2020_8,14
951,IND,2020_9,7
952,IND,2020_10,4
953,IND,2020_11,10
954,IND,2020_12,7
955,IND,2020_13,7
956,IND,2020_14,7
957,IND,2020_15,7
958,IND,2020_16,7
959,IND,2020_17,7
960,KC,2019_1,365
961,KC,2019_2,7
962,KC,2019_3,7
963,KC,2019_4,7
964,KC,2019_5,7
965,KC,2019_6,7
966,KC,2019_7,4
967,KC,2019_8,10
968,KC,2019_9,7
969,KC,2019_10,7
970,KC,2019_11,8
971,KC,2019_13,13
972,KC,2019_14,7
973,KC,2019_15,7
974,KC,2019_16,7
975,KC,2019_17,7
976,KC,2020_1,256
977,KC,2020_2,10
978,KC,2020_3,8
979,KC,2020_4,7
980,KC,2020_5,6
981,KC,2020_6,8
982,KC,2020_7,6
983,KC,2020_8,7
984,KC,2020_9,7
985,KC,2020_11,14
986,KC,2020_12,7
987,KC,2020_13,7
988,KC,2020_14,7
989,KC,2020_15,7
990,KC,2020_16,7
991,KC,2020_17,7
992,SF,2019_1,365
993,SF,2019_2,7
994,SF,2019_3,7
995,SF,2019_5,15
996,SF,2019_6,6
997,SF,2019_7,7
998,SF,2019_8,7
999,SF,2019_9,4
1000,SF,2019_10,11
1001,SF,2019_11,6
1002,SF,2019_12,7
1003,SF,2019_13,7
1004,SF,2019_14,7
1005,SF,2019_15,7
1006,SF,2019_16,6
1007,SF,2019_17,8
1008,SF,2020_1,259
1009,SF,2020_2,7
1010,SF,2020_3,7
1011,SF,2020_4,7
1012,SF,2020_5,7
1013,SF,2020_6,7
1014,SF,2020_7,7
1015,SF,2020_8,7
1016,SF,2020_9,4
1017,SF,2020_10,10
1018,SF,2020_12,14
1019,SF,2020_13,8
1020,SF,2020_14,6
1021,SF,2020_15,7
1022,SF,2020_16,6
1023,SF,2020_17,8
